Time,ID,Category,Group,Event,Msg. Type,Priority,Ether Type,Src. MAC,Src. Int.,Src. Zone,Dst. MAC,Dst. Int.,Dst. Zone,Src. IP,Src. Port,Src. Name,Src.NAT IP,Src.NAT Port,In SPI,Dst. IP,Dst. Port,Dst. Name,Dst.NAT IP,Dst.NAT Port,Out SPI,IP Protocol,ICMP Type,ICMP Code,RX Bytes,TX Bytes,Access Rule,NAT Policy,User Name,Session Time,Session Type,IDP Rule,IDP Priority,HTTP OP,URL,VPN Policy,HTTP Result,Block Cat,Application,FW Action,Notes,Message
5/10/2017 8:02,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,EC:AA:A0:2B:5B:25,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.194,32380,,,,,121.254.168.230,443,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTPS,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:03,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,23.53.226.158,80,,,,,106.245.254.194,29182,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:04,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X0,LAN,24.222.6.106,29933,,,,,192.168.0.2,3389,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:04,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,1433,,,,,123.207.8.231,42158,,,,,tcp,,,46,,,,,,,,,,,,,,Service MS SQL,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 8:04,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,112.175.138.167,80,,,,,106.245.254.194,27637,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:05,181,Network,TCP,TCP FIN Drop,Standard,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,31.13.95.8,443,,,,,106.245.254.194,38289,,,,,tcp,,,52,,,,,,,,,,,,,,,drop,,TCP FIN packet dropped 
5/10/2017 8:05,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,B4:B6:76:EC:EB:31,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.194,42806,,,,,211.115.106.201,80,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:05,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,183.111.26.25,80,,,,,106.245.254.194,32403,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:05,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,37.115.52.42,41342,,,,,106.245.254.194,23,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 8:06,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,AC:16:2D:8C:EC:8C,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.195,3389,,,,,121.254.217.179,63781,,,,,tcp,,,46,,,,,,,,,,,,,,Service Terminal Services TCP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:06,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,110.45.243.111,993,,,,,106.245.254.194,26749,,,,,tcp,,,84,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:07,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:11:32:27:83:F8,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.198,23,,,,,163.172.99.78,54323,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 8:07,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,90:00:DB:A6:7A:0F,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,192.168.0.219,57571,,,,,13.124.32.150,443,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:07,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,90:00:DB:A6:7A:0F,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.194,8277,,,,,43.227.116.113,443,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTPS,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:08,181,Network,TCP,TCP FIN Drop,Standard,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,74.125.204.94,443,,,,,106.245.254.194,37338,,,,,tcp,,,892,,,,,,,,,,,,,,,drop,,TCP FIN packet dropped 
5/10/2017 8:08,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,223.207.138.133,27920,,,,,106.245.254.194,23,,,,,tcp,,,46,,,,,,,,,,,,,,General Telnet,drop,,TCP connection reject received; TCP connection dropped
5/10/2017 8:08,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,104.75.20.160,443,,,,,106.245.254.194,32607,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
5/10/2017 8:09,713,Network,TCP,TCP Connection Abort,Standard Note String,Debug,2048,24:EC:99:D6:C7:74,X0,LAN,18:B1:69:1A:2F:B0,X1,WAN,106.245.254.194,5569,,,,,13.107.4.50,80,,,,,tcp,,,46,,,,,,,,,,,,,,General HTTP,drop,,TCP connection abort received; TCP connection dropped
5/10/2017 8:10,712,Network,TCP,TCP Connection Reject,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,111.192.35.206,64890,,,,,106.245.254.194,63000,,,,,tcp,,,46,,,,,,,,,,,,,,Service RPC Services (IANA),drop,,TCP connection reject received; TCP connection dropped
5/10/2017 8:10,888,Network,TCP,TCP Connection Does Not Exist,Standard Note String,Debug,2048,00:07:70:95:2F:98,X1,WAN,18:B1:69:1A:2F:B1,X1,WAN,14.0.70.111,80,,,,,106.245.254.194,24911,,,,,tcp,,,46,,,,,,,,,,,,,,,drop,,TCP packet received on non-existent/closed connection; TCP packet dropped
